name,category,total_price_with_taxes,unit_price,vat,ico,description,brand,model,sku
Chicharron,Carta,28000,25925.93,0%,8.00%,"170g de chicharrón, con ensalada de la casa, papas al vapor o a la francesa",fuerte,fuerte,CARTA-FUERTE-CHICHARRON
Picada para dos,Carta,50000,46296.30,0%,8.00%,"Chicharron, carne de res, carne de cerdo, chorizo, papa cocida, tomate",fuerte,fuerte,CARTA-FUERTE-PICADA-DOS
Picada familiar,Carta,80000,74074.07,0%,8.00%,"Chicharron, carne de res, carne de cerdo, chorizo, papa cocida, tomate, para cuatro personas",fuerte,fuerte,CARTA-FUERTE-PICADA-CUATRO
Cerdo a la plancha,Carta,28000,25925.93,0%,8.00%,"170g de carne de cerdo, con ensalada de la casa, papas al vapor o a la francesa",fuerte,fuerte,CARTA-FUERTE-CERDO
Sopa de Costilla,Carta,10000,9259.26,0%,8.00%,Sopa Costilla,sopa,sopa,CARTA-SOPA-COSTILLA
Sopa de Albondiga,Carta,10000,9259.26,0%,8.00%,Sopa de Albondiga,sopa,sopa,CARTA-SOPA-ALBONDIGA
Consomé de Pescado,Carta,10000,9259.26,0%,8.00%,Consomé de Pescado,sopa,sopa,CARTA-SOPA-PESCADO
Nuggets de pescado,Carta,20000,18518.52,0%,8.00%,Nuggets de pescado,infantil,infantil,CARTA-INFANTIL-NUGGETS-PESCADO
Nuggets de pollo,Carta,20000,18518.52,0%,8.00%,Nuggets de pollo,infantil,infantil,CARTA-INFANTIL-NUGGETS-POLLO
Salchipapas,Carta,15000,13888.89,0%,8.00%,Salchipapas,infantil,infantil,CARTA-INFANTIL-SALCHIPAPAS
Sodas Saborizadas,Carta,10000,9259.26,0%,8.00%,"Sodas Saborizadas, Cereza, mango, fresa",bebidas frias,bebidas frias,CARTA-FRIAS-SODA-SABORIZADA
Copa de Vino,Carta,12000,11111.11,0%,8.00%,Copa de Vino,bebidas frias,bebidas frias,CARTA-FRIAS-COPA-VINO
Jugos en Agua,Carta,10000,9259.26,0%,8.00%,Jugos en Agua,bebidas frias,bebidas frias,CARTA-FRIAS-JUGO-AGUA
Jugos en leche,Carta,10000,9259.26,0%,8.00%,Jugos en leche,bebidas frias,bebidas frias,CARTA-FRIAS-JUGO-LECHE
Limonadas,Carta,10000,9259.26,0%,8.00%,"Limonadas, coco, cereza o natural",bebidas frias,bebidas frias,CARTA-FRIAS-LIMONADA
Jarra de Sangría,Carta,45000,41666.67,0%,8.00%,Jarra de Sangría,bebidas frias,bebidas frias,CARTA-FRIAS-JARRA-SANGRIA
Jarra de Guandolo,Carta,28000,25925.93,0%,8.00%,Jarra de Guandolo,bebidas frias,bebidas frias,CARTA-FRIAS-JARRA-GUANDOLO
Malteadas,Carta,12000,11111.11,0%,8.00%,Malteadas,bebidas frias,bebidas frias,CARTA-FRIAS-MALTEADA
Milo frío,Carta,10000,9259.26,0%,8.00%,Milo frío,bebidas frias,bebidas frias,CARTA-FRIAS-MILO
Café Americano,Carta,4000,3703.70,0%,8.00%,Café Americano,bebidas calientes,bebidas calientes,CARTA-CALIENTES-CAFE-AMERICANO
Capuccino,Carta,7000,6481.48,0%,8.00%,Capuccino,bebidas calientes,bebidas calientes,CARTA-CALIENTES-CAPUCCINO
Cafe Latte,Carta,5000,4629.63,0%,8.00%,Café Latte,bebidas calientes,bebidas calientes,CARTA-CALIENTES-LATTE
Milo caliente,Carta,10000,9259.26,0%,8.00%,Milo caliente,bebidas calientes,bebidas calientes,CARTA-CALIENTES-MILO
Aromática de frutos,Carta,8000,7407.41,0%,8.00%,Aromática de frutos rojos o amarillos,bebidas calientes,bebidas calientes,CARTA-CALIENTES-AROMATICA
Vino Caliente,Carta,12000,11111.11,0%,8.00%,Vino Caliente,bebidas calientes,bebidas calientes,CARTA-CALIENTES-COPA-VINO
Gramo Pescado de Lago,Lago,32,29.63,0%,8.00%,Gramo Pescado de Lago,pescado,pescado,LAGO-PESCADO
Michelada Cerveza Nacional,Bebidas,10000,9259.26,0%,8.00%,Michelada Cerveza Nacional,bebidas frias,bebidas frias,CARTA-FRIAS-MICHELADA-CERVEZA-NACIONAL
Michelada Cerveza Importadas,Bebidas,11000,10185.19,0%,8.00%,Michelada Cerveza Importadas,bebidas frias,bebidas frias,CARTA-FRIAS-MICHELADA-CERVEZA-IMPORTADA
Michelada Gaseosa,Bebidas,9000,8333.33,0%,8.00%,Michelada Gaseosa,bebidas frias,bebidas frias,CARTA-FRIAS-MICHELADA-GASEOSA
Chocolatina Jumbo Grande,Snacks,12000,11111.11,0%,8.00%,Chocolatina Jumbo Grande,snacks,snacks,SNACKS-CHOCOLATINA-JUMBO-GRANDE
Trululu,Snacks,4000,3703.70,0%,8.00%,Trululu,snacks,snacks,SNACKS-TRULULU
Advil,Medicamento,4000,3703.70,0%,8.00%,Advil,snacks,snacks,SNACKS-ADVIL
Oreo,Snacks,4000,3703.70,0%,8.00%,Oreo,snacks,snacks,SNACKS-OREO
Del Valle,Bebidas,12000,11111.11,0%,8.00%,Del Valle,snacks,snacks,SNACKS-DELVALLE
